eventID,station_name,origin_time,start_time,channel_name,network,sta_longitude,sta_latitude,sta_depth,ev_longitude,ev_latitude,ev_depth,E_P_idx,N_P_idx,Z_P_idx,E_shift(s),N_shift(s),Z_shift(s),sampling_rate,Z_npts,N_npts,E_npts,Z_factor,N_factor,E_factor,epi_dist,hypo_dist,magnitude
13010321.P18,TW.EHD.10.HN,2018-01-01 03:21:56.650000,2018-01-01T03:20:56.650000Z,HNZ(N/E),CWBSN,121.20610046386719,23.148799896240234,-0.3223999938964844,121.24130249023438,22.865299224853516,8.930000305175781,6663,6663,6663,0.0,0.0,0.0,100.0,36001,36001,36001,6.42e-06,6.41e-06,6.43e-06,31.602755425381417,32.92933436574064,3.85
13010321.P18,TW.EHY.10.EH,2018-01-01 03:21:56.650000,2018-01-01T03:20:56.650000Z,EHZ(N/E),CWBSN,121.32990264892578,23.503799438476562,-0.237,121.24130249023438,22.865299224853516,8.930000305175781,7232,7232,7232,0.0,0.0,0.0,100.0,36001,36001,36001,8.89e-09,8.89e-09,8.89e-09,71.29118235533,71.87813698348064,3.85
13010321.P18,TW.ELD.10.EH,2018-01-01 03:21:56.650000,2018-01-01T03:20:56.650000Z,EHZ(N/E),CWBSN,121.0250015258789,23.18709945678711,-1.04,121.24130249023438,22.865299224853516,8.930000305175781,6820,6820,6820,0.0,0.0,0.0,100.0,36001,36001,36001,8.89e-09,8.89e-09,8.89e-09,41.97150060564628,43.13939926766448,3.85
13010321.P18,TW.ELD.00.HH,2018-01-01 03:21:56.650000,2018-01-01T03:20:56.650000Z,HHZ(1/2),CWBSN,121.0250015258789,23.186399459838867,0.025,121.24130249023438,22.865299224853516,8.930000305175781,6812,6812,6812,0.0,0.0,0.0,100.0,36001,36001,36001,1.52e-09,1.44e-09,1.49e-09,41.905727617504475,42.84144065723815,3.85
13010321.P18,TW.ELD.10.HH,2018-01-01 03:21:56.650000,2018-01-01T03:20:56.650000Z,HHZ(N/E),CWBSN,121.0250015258789,23.18709945678711,-1.04,121.24130249023438,22.865299224853516,8.930000305175781,6819,6819,6819,0.0,0.0,0.0,100.0,36001,36001,36001,1.34e-09,1.35e-09,1.36e-09,41.97150060564628,43.13939926766448,3.85
13010321.P18,TW.ELD.10.HL,2018-01-01 03:21:56.650000,2018-01-01T03:20:56.650000Z,HLZ(N/E),CWBSN,121.0250015258789,23.18709945678711,-1.04,121.24130249023438,22.865299224853516,8.930000305175781,6820,6820,6820,0.0,0.0,0.0,100.0,36001,36001,36001,3.12e-06,3.12e-06,3.12e-06,41.97150060564628,43.13939926766448,3.85
13010321.P18,TW.ELD.11.HL,2018-01-01 03:21:56.650000,2018-01-01T03:20:56.650000Z,HLZ(N/E),CWBSN,121.0250015258789,23.18709945678711,-1.04,121.24130249023438,22.865299224853516,8.930000305175781,6820,6820,6820,0.0,0.0,0.0,100.0,36001,36001,36001,3.08e-06,3.08e-06,3.07e-06,41.97150060564628,43.13939926766448,3.85
13010321.P18,TW.ELD.00.HN,2018-01-01 03:21:56.650000,2018-01-01T03:20:56.650000Z,HNZ(1/2),CWBSN,121.0250015258789,23.186399459838867,0.025,121.24130249023438,22.865299224853516,8.930000305175781,6813,6813,6813,0.0,0.0,0.0,100.0,36001,36001,36001,6.41e-06,6.42e-06,6.3e-06,41.905727617504475,42.84144065723815,3.85
13010321.P18,TW.ELD.10.HN,2018-01-01 03:21:56.650000,2018-01-01T03:20:56.650000Z,HNZ(N/E),CWBSN,121.0250015258789,23.186399459838867,0.025,121.24130249023438,22.865299224853516,8.930000305175781,6820,6820,6820,0.0,0.0,0.0,100.0,36001,36001,36001,6.43e-06,6.42e-06,6.47e-06,41.905727617504475,42.84144065723815,3.85
13010321.P18,TW.EYUL.00.HH,2018-01-01 03:21:56.650000,2018-01-01T03:20:56.650000Z,HHZ(1/2),CWBSN,121.31909942626953,23.347200393676758,-0.165,121.24130249023438,22.865299224853516,8.930000305175781,7040,7040,7040,0.0,0.0,0.0,100.0,36001,36001,36001,1.48e-09,1.56e-09,1.58e-09,53.96016995403651,54.721284451478766,3.85
